# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23429
#@/user_id	dc32b531-effb-4e33-b228-85587d1b6c4a
a 	啊	c=99 d=0.100281 t=23361
ben chi 	奔驰	c=1 d=1 t=13310
ben di 	本地	c=53 d=3.4814 t=22134
ben di de 	本地的	c=1 d=1 t=19997
ben di hua 	本地化	c=1 d=1 t=12083
ben di nei cun 	本地内存	c=5 d=2.03491 t=17603
ben ji 	本季	c=2 d=1 t=20076
ben jie 	本届	c=1 d=1 t=16985
ben lai 	本来	c=4 d=1 t=23203
ben lai xiang 	本来想	c=1 d=1 t=23011
ben shen 	本身	c=4 d=1.00041 t=18453
ben teng 	奔腾	c=0 d=0.1 t=22777
ben teng bu fu de shi dai 	奔腾不复的时代	c=1 d=1 t=22778
ben wei 	本位	c=1 d=1 t=17083
ben wen 	本文	c=22 d=1.19115 t=20334
ben wen de 	本文的	c=1 d=1 t=17816
ben wen e 	本文饿	c=1 d=1 t=17174
ben ze ma 	本泽马	c=3 d=2.95581 t=8722
beng kui 	崩溃	c=2 d=0.160507 t=15347
beng kui de 	崩溃的	c=1 d=1 t=15348
beng kui le 	崩溃了	c=0 d=0.1 t=20927
bi 	必	c=1 d=1 t=6168
bi 	比	c=24 d=1.68542 t=21701
bi a 	比啊	c=1 d=1 t=22709
bi bao 	闭包	c=3 d=2.88825 t=5274
bi bei shang geng bei shang 	比悲伤更悲伤	c=0 d=0.1 t=14726
bi bei shang geng bei shang de gu shi 	比悲伤更悲伤的故事	c=1 d=1 t=14727
bi bi 	哔哔	c=1 d=1 t=650
bi ji 	笔记	c=21 d=2.02717 t=23214
bi ji ben 	笔记本	c=2 d=1 t=7890
bi jiao 	比较	c=4 d=1.30882 t=23036
bi jiao hao 	比较好	c=3 d=1 t=23404
bi jiao wan 	比较晚	c=1 d=1 t=23180
bi jing 	毕竟	c=1 d=0.1 t=21692
bi jing ta men 	毕竟他们	c=1 d=1 t=21693
bi lan 	碧蓝	c=1 d=1 t=6023
bi li 	比例	c=9 d=1.00002 t=20001
bi lv 	比率	c=2 d=1.31982 t=17743
bi mian 	避免	c=5 d=1 t=20314
bi ni de 	比你的	c=1 d=1 t=11159
bi po 	逼迫	c=1 d=1 t=15055
bi ran 	必然	c=1 d=1 t=12723
bi ran shi 	必然是	c=1 d=1 t=106
bi ru 	比如	c=6 d=1.00138 t=16417
bi sai 	比赛	c=1 d=1 t=5925
bi she 	毕设	c=1 d=1 t=13185
bi wo 	比我	c=1 d=1 t=20295
bi wo de 	比我的	c=1 d=1 t=12390
bi xu 	必须	c=16 d=1.00315 t=22151
bi xu dei 	必须得	c=1 d=1 t=7076
bi xu kan 	必须看	c=1 d=1 t=10669
bi xu mai 	必须买	c=1 d=1 t=13633
bi xu shi 	必须是	c=1 d=1 t=11205
bi xu yao 	必须要	c=2 d=1 t=10513
bi xu yong 	必须用	c=1 d=1 t=6586
bi xuan 	必选	c=1 d=1 t=21581
bi yao 	必要	c=3 d=1 t=9449
bi zhi 	壁纸	c=5 d=4.66044 t=12538
bian 	变	c=2 d=1.00027 t=6833
bian chang 	变长	c=3 d=1.26949 t=13847
bian cheng 	变成	c=4 d=1 t=18345
bian cheng 	编程	c=2 d=1.97045 t=5820
bian de 	变得	c=1 d=1 t=18133
bian duo le 	变多了	c=1 d=1 t=2444
bian geng 	变更	c=1 d=1 t=22936
bian hao 	编号	c=1 d=1 t=21594
bian ji 	编辑	c=5 d=1.99501 t=20247
bian ji bu 	编辑部	c=3 d=1.35272 t=7425
bian ji qi 	编辑器	c=4 d=1.00012 t=19742
bian ji qu 	编辑区	c=1 d=1 t=2287
bian le 	变了	c=1 d=1.03517 t=2492
bian le a 	变了啊	c=1 d=1 t=2284
bian li 	便利	c=1 d=1.09003 t=8662
bian li 	遍历	c=3 d=1 t=17223
bian li cha zhao 	便利查找	c=1 d=1 t=8642
bian liang 	变量	c=5 d=1 t=22363
bian ma 	编码	c=2 d=1 t=22718
bian ma qi 	编码器	c=1 d=1 t=12954
bian pai 	编排	c=0 d=0.1 t=21100
bian pai qi 	编排器	c=1 d=1 t=21101
bian pai qi 	编排气	c=4 d=1.00023 t=21100
bian pao 	鞭炮	c=0 d=0.1 t=19426
bian pao qi 	鞭炮起	c=1 d=1 t=19427
bian wei 	变为	c=2 d=1 t=21955
bian xie 	编写	c=1 d=1 t=18618
bian yi 	编译	c=18 d=1.43994 t=22178
bian yi yi ci 	编译一次	c=1 d=1 t=18691
bian yuan 	边缘	c=1 d=1 t=15349
bian zheng fa 	辩证法	c=1 d=1 t=21172
biao 	表	c=4 d=1.14016 t=13798
biao da 	表达	c=0 d=0.1 t=13492
biao da wei 	表达为	c=1 d=1 t=13493
biao gan 	标杆	c=1 d=1 t=3319
biao ge 	表格	c=1 d=1 t=21230
biao ji 	标记	c=1 d=1 t=16046
biao qian 	标签	c=8 d=1 t=21340
biao qian wei 	标签位	c=2 d=1.93707 t=10349
biao qing 	表情	c=3 d=1.94667 t=1974
biao shi 	标识	c=1 d=1 t=9896
biao shi 	表示	c=15 d=1.0216 t=20864
biao shu 	表述	c=1 d=1 t=9367
biao ti 	标题	c=5 d=1 t=23403
biao xian 	表现	c=4 d=1.00868 t=18784
biao zhi wei 	标志位	c=1 d=1 t=21333
biao zhu 	标注	c=0 d=0.1 t=14404
biao zhun 	标准	c=3 d=1.00011 t=7476
bie 	别	c=0 d=0.1 t=4733
bie de 	别的	c=0 d=0.1 t=11984
bie gao 	别搞	c=0 d=0.1 t=23361
bie gao a 	别搞啊	c=1 d=1 t=23362
bie guan 	别管	c=1 d=1 t=2639
bie hang 	别行	c=1 d=1 t=11863
bie he 	别和	c=0 d=0.1 t=11983
bie he wo 	别和我	c=1 d=1 t=11984
bie ji 	别急	c=1 d=1 t=21525
bie ming 	别名	c=1 d=1 t=21202
bie ren 	别人	c=1 d=1 t=13922
bie yong 	别用	c=2 d=1.99005 t=15353
bin guan 	宾馆	c=1 d=1 t=10521
bing 	并	c=26 d=2.28324 t=22385
bing bao 	冰雹	c=1 d=1 t=4502
bing bu 	并不	c=1 d=1 t=16430
bing bu hui 	并不会	c=1 d=1 t=17036
bing bu shi 	并不是	c=3 d=1.00604 t=15629
bing bu shi yong yu 	并不适用于	c=1 d=1 t=16826
bing bu wei sheng 	并不卫生	c=1 d=1 t=9425
bing bu zhi chi 	并不支持	c=1 d=1 t=16144
bing dao 	冰岛	c=3 d=1.00003 t=9694
bing dui 	并对	c=1 d=1 t=13604
bing fang 	并放	c=1 d=1 t=10190
bing gu an 	丙谷胺	c=1 d=1 t=10520
bing ji xu 	并继续	c=1 d=1 t=16771
bing jia shang 	并加上	c=1 d=1 t=22361
bing mei you 	并没有	c=4 d=1 t=20803
bing mei you qi dong 	并没有启动	c=1 d=1 t=21824
bing qie 	并且	c=16 d=1.68026 t=17410
bing she zhi 	并设置	c=1 d=1 t=20069
bing wei 	并未	c=1 d=1 t=17171
bing xiang 	冰箱	c=1 d=1 t=13973
bing xing 	并行	c=3 d=1.9802 t=15331
bing xing fang wen 	并行访问	c=1 d=1 t=8684
bo 	波	c=0 d=0.1 t=22081
bo fang 	播放	c=3 d=2.33083 t=6762
bo fang qi 	播放器	c=4 d=2.97516 t=14284
bo jin 	铂金	c=1 d=1 t=2740
bo ke 	博客	c=10 d=1.12037 t=23400
bo ke fen xiang 	博客分享	c=1 d=1 t=21267
bo sha 	薄纱	c=1 d=1 t=7070
bo shi 	博士	c=3 d=1.99005 t=17636
bo zhu 	博主	c=1 d=1 t=13910
bu 	不	c=24 d=1.00403 t=22505
bu 	部	c=1 d=1 t=14279
bu an 	不安	c=0 d=0.1 t=3219
bu bao zheng 	不保证	c=3 d=2.97025 t=12079
bu bei 	不备	c=2 d=1 t=15110
bu chi 	不吃	c=3 d=1 t=7527
bu chong 	补充	c=3 d=1 t=16978
bu chu 	不出	c=0 d=0.1 t=12278
bu chu qu 	不出去	c=1 d=1 t=6998
bu chui le 	不吹了	c=1 d=1 t=9823
bu cun zai 	不存在	c=5 d=1 t=21765
bu cuo 	不错	c=3 d=1 t=19511
bu cuo de 	不错的	c=2 d=1 t=22449
bu da 	不大	c=1 d=1 t=13565
bu dao 	不到	c=2 d=1 t=20413
bu de liao 	不得了	c=2 d=1 t=7135
bu dei 	不得	c=0 d=0.1 t=10167
bu deng chang 	不等长	c=1 d=1 t=15141
bu ding 	补丁	c=2 d=1.97531 t=18403
bu dong 	不懂	c=2 d=1 t=10310
bu dou shi 	不都是	c=1 d=1 t=20499
bu duan de 	不断地	c=1 d=1 t=18179
bu dui 	不对	c=0 d=0.1 t=2503
bu dui le 	不对了	c=1 d=1 t=2504
bu dui le a 	不对了啊	c=1 d=1 t=7926
bu duo 	不多	c=4 d=1 t=19160
bu eng 	不嗯	c=1 d=1 t=3413
bu fa sheng 	不发生	c=13 d=9.06555 t=1776
bu fen 	部分	c=17 d=1.77491 t=18656
bu fu 	不复	c=0 d=0.1 t=22777
bu gan huo 	不干活	c=0 d=0.1 t=7916
bu gan huo de a 	不干活的啊	c=1 d=1 t=7917
bu gan jing 	不干净	c=1 d=1 t=7144
bu gao 	不搞	c=1 d=0.1 t=23199
bu gao na me duo 	不搞那么多	c=1 d=1 t=23200
bu gao su ni 	不告诉你	c=1 d=1 t=12073
bu gao xue xi 	不高学习	c=1 d=1 t=66
bu gou 	不够	c=2 d=1.00125 t=11758
bu gu ding 	不固定	c=1 d=1 t=9094
bu guan 	不关	c=1 d=1 t=5945
bu guan 	不管	c=1 d=1 t=1093
bu guan le 	不管了	c=1 d=1 t=19599
bu gui lv 	不规律	c=1 d=1 t=15021
bu guo 	不过	c=7 d=1 t=22844
bu hao 	不好	c=1 d=1 t=19509
bu hao a 	不好啊	c=1 d=1 t=5424
bu hao de 	不好的	c=1 d=1 t=23095
bu hao kan 	不好看	c=1 d=1 t=7119
bu hao yong 	不好用	c=1 d=1 t=3402
bu he 	不喝	c=1 d=1 t=7613
bu he diao 	不合调	c=0 d=0.1 t=4788
bu huan er san 	不欢而散	c=1 d=1 t=23364
bu hui 	不会	c=15 d=1.00002 t=21633
bu hui ka 	不会卡	c=1 d=1 t=3965
bu ji 	不及	c=1 d=1 t=4029
bu ji 	不急	c=1 d=1 t=21723
bu ji jiao 	不计较	c=1 d=1 t=11658
bu jian 	不见	c=1 d=1 t=1363
bu jiao 	不叫	c=1 d=1 t=9648
bu jiao lv le 	不焦虑了	c=1 d=1 t=6726
bu jie jue 	不解决	c=1 d=1 t=12049
bu jin 	不仅	c=2 d=1 t=12904
bu jiu 	不久	c=1 d=1 t=18964
bu jiu shi 	不就是	c=4 d=1.77492 t=19070
bu jiu wan le 	不就完了	c=1 d=1 t=6723
bu jiu xing le ma 	不就行了吗	c=1 d=1 t=11265
bu ju 	布局	c=2 d=1 t=21379
bu jue de 	不觉得	c=1 d=1 t=19787
bu ka ma 	不卡吗	c=1 d=1 t=9718
bu kai xin 	不开心	c=1 d=1 t=18043
bu kan 	不看	c=1 d=1 t=12948
bu kan a 	不看啊	c=1 d=1 t=2295
bu kan da an 	不看答案	c=1 d=1 t=10292
bu ke neng 	不可能	c=4 d=1 t=12683
bu ke ti dai 	不可替代	c=0 d=0.1 t=14078
bu ke ti dai de 	不可替代的	c=1 d=1 t=14079
bu ke yi 	不可以	c=1 d=1 t=3267
bu ke yong 	不可用	c=1 d=1 t=11678
bu kui shi 	不愧是	c=1 d=1 t=3312
bu lai dun 	布莱顿	c=2 d=1 t=13163
bu liao 	不了	c=4 d=1.01637 t=22524
bu liao le 	不了了	c=0 d=0.1 t=13010
bu mai 	不买	c=1 d=1 t=13637
bu ming 	不明	c=1 d=1 t=7058
bu ming zhong 	不命中	c=1 d=1 t=15125
bu neng 	不能	c=16 d=1.85202 t=22722
bu neng shi 	不能使	c=1 d=1 t=11207
bu neng shuo zai jian 	不能说再见	c=1 d=1 t=22639
bu neng zai 	不能再	c=1 d=1 t=6607
bu neng zhi wang 	不能指望	c=1 d=1 t=11109
bu qu 	不去	c=2 d=0.1 t=12678
bu quan 	补全	c=11 d=8.88077 t=5206
bu ran 	不然	c=4 d=1 t=20720
bu rang 	不让	c=2 d=1.00048 t=6771
bu rang wo 	不让我	c=1 d=1 t=9946
bu ru 	不如	c=8 d=1 t=22939
bu shang 	不上	c=1 d=1 t=7213
bu she de 	不舍得	c=1 d=1 t=10061
bu sheng ji 	部省级	c=1 d=1 t=11483
bu sheng jiu li 	不胜酒力	c=1 d=1 t=14988
bu sheng xiao 	不生效	c=1 d=1 t=4100
bu shi 	不是	c=31 d=1.03463 t=22544
bu shi 	不适	c=4 d=1.07601 t=4723
bu shi bie 	不识别	c=1 d=1 t=4743
bu shi shuo 	不是说	c=1 d=1 t=13946
bu shi ying 	不适应	c=1 d=1 t=5437
bu shu 	部署	c=14 d=1 t=22648
bu shu dao 	部署到	c=1 d=1 t=16275
bu shu de 	部署的	c=3 d=1 t=19850
bu shu fu 	不舒服	c=1 d=1 t=12754
bu shuang 	不爽	c=0 d=0.1 t=2238
bu shuang a 	不爽啊	c=1 d=1 t=2239
bu shui jiao a 	不睡觉啊	c=1 d=1 t=6220
bu song 	不送	c=1 d=1 t=7716
bu suan 	不算	c=1 d=1 t=3172
bu suan zai 	不算在	c=1 d=1 t=10335
bu tai 	不太	c=1 d=1 t=18086
bu tai gou 	不太够	c=1 d=1 t=19839
bu tai qing chu 	不太清楚	c=1 d=1 t=21112
bu tai xing 	不太行	c=1 d=1 t=9406
bu ting 	不停	c=1 d=1 t=2453
bu tong 	不同	c=21 d=1.01933 t=21416
bu tong 	不通	c=1 d=1 t=9991
bu tong chao shi de 	不同潮湿的	c=1 d=1 t=14764
bu tong de 	不同的	c=2 d=1 t=20030
bu tong guo 	不通过	c=1 d=1 t=20029
bu tong zhi chu 	不同之处	c=1 d=1 t=16069
bu wan 	不玩	c=1 d=1 t=4629
bu xi 	不洗	c=2 d=1.9802 t=11829
bu xi huan 	不喜欢	c=1 d=1 t=304
bu xian 	不限	c=1 d=1 t=22651
bu xian shi 	不显示	c=2 d=1 t=9893
bu xiang 	不像	c=1 d=1 t=7822
bu xin 	不信	c=1 d=1 t=7169
bu xing 	不行	c=13 d=1.09244 t=23291
bu xing a 	不行啊	c=1 d=0.1 t=14196
bu xing le 	不行了	c=0 d=0.1 t=18502
bu xing ren shi 	不省人事	c=1 d=1 t=14789
bu xu fei 	不续费	c=1 d=1 t=6891
bu xu yao 	不需要	c=5 d=1.0481 t=17423
bu yao 	不要	c=4 d=0.1 t=19085
bu yi ding 	不一定	c=1 d=1 t=22882
bu yi yan ge de 	不以严格的	c=1 d=1 t=20339
bu yi yang 	不一样	c=10 d=1.00004 t=23256
bu ying dang 	不应当	c=1 d=1 t=12806
bu yong 	不用	c=4 d=1 t=21540
bu yong le 	不用了	c=1 d=1 t=12096
bu yong zhe teng 	不用折腾	c=1 d=1 t=14077
bu zai 	不再	c=3 d=1 t=12034
bu zhao ren 	不招人	c=1 d=1 t=2765
bu zhi 	不止	c=1 d=1 t=17677
bu zhi 	不知	c=1 d=1 t=7957
bu zhi chi 	不支持	c=3 d=1 t=21197
bu zhi dao 	不知道	c=19 d=1 t=19897
bu zhi dao a 	不知道啊	c=2 d=1.96079 t=10368
bu zhi ding 	不指定	c=1 d=1 t=21628
bu zhi jie 	不直接	c=1 d=1 t=22172
bu zhi jie sou 	不直接搜	c=1 d=1 t=7404
bu zhun 	不准	c=0 d=0.1 t=10209
bu zhun a 	不准啊	c=1 d=1 t=10210
bu zu 	不足	c=5 d=1.71892 t=20359
ca 	擦	c=1 d=1 t=12543
ca bu gan jing 	擦不干净	c=1 d=1 t=3261
ca ca 	擦擦	c=1 d=1 t=18959
ca shi 	擦拭	c=1 d=1 t=3266
cai 	才	c=10 d=1 t=23084
cai 	猜	c=1 d=1 t=7281
cai bu hui 	才不会	c=1 d=1 t=22741
cai dan 	菜单	c=5 d=4.47036 t=198
cai dan lan 	菜单栏	c=5 d=2.88195 t=3040
cai di da 	才抵达	c=1 d=1 t=4281
cai fa xian 	才发现	c=2 d=1 t=20994
cai hui 	才会	c=1 d=1 t=16516
cai ke yi 	才可以	c=2 d=1 t=17132
